Title,Genres,Tags
Kaakha Kaakha,"Action, Romance, Thriller","Emotional, Love, Police, Crime"
Anbe Sivam,"Drama, Comedy","Friendship, Life Lessons, Feel-good"
Vikram Vedha,"Action, Crime, Thriller","Dark, Intense, Suspense"
96,"Romance, Drama","Emotional, Love, Nostalgia"
Pariyerum Perumal,"Drama, Social","Emotional, Social Justice, Heartwarming"
Super Deluxe,"Comedy, Drama, Thriller","Dark, Intense, Thought-provoking"
Nayagan,"Drama, Crime","Emotional, Family, Social Justice"
Thalapathi,"Action, Drama","Friendship, Betrayal, Emotional"
Roja,"Romance, Thriller","Love, Patriotism, Emotional"
Bombay,"Romance, Drama","Love, Social Issues, Emotional"
Kannathil Muthamittal,"War, Drama","Family, Emotional, Heartwarming"
Alaipayuthey,"Romance, Drama","Love, Marriage, Emotional"
Mouna Ragam,"Romance, Drama","Love, Family, Emotional"
Thani Oruvan,"Action, Thriller","Intense, Suspense, Crime"
I,"Romance, Thriller","Love, Revenge, Emotional"
Visaranai,"Crime, Drama","Dark, Intense, Social Justice"
Jigarthanda,"Crime, Comedy, Thriller","Dark, Intense, Suspense"
Aruvi,"Drama, Social","Emotional, Social Issues, Heartwarming"
Asuran,"Action, Drama","Revenge, Social Justice, Emotional"
Karnan,"Drama, Action","Social Justice, Emotional, Intense"
Sarpatta Parambarai,"Sports, Drama","Motivational, Emotional, Inspiring"
Pudhupettai,"Crime, Drama","Dark, Intense, Gritty"
Vada Chennai,"Crime, Drama","Dark, Intense, Suspense"
Soodhu Kavvum,"Crime, Comedy, Thriller","Dark, Funny, Suspense"
Theeran Adhigaaram Ondru,"Action, Crime, Thriller","Intense, Suspense, Police"

Vikram,"Action, Thriller","Dark, Intense, Suspense"
Petta,"Action, Drama","Revenge, Emotional, Intense"
Master,"Action, Thriller","Intense, Suspense, Emotional"
Doctor,"Comedy, Thriller","Funny, Suspense, Feel-good"
